Label,response
KinderPerfect (Commercial Set),Eating the Cheerio in the toilet
KinderPerfect (Commercial Set),Eating the last fruit snack
KinderPerfect (Commercial Set),Eating their own weight in candy
KinderPerfect (Commercial Set),Eau de baby vomit
KinderPerfect (Commercial Set),Establishing playground dominance
KinderPerfect (Commercial Set),Expecting a smile and getting a face full of puke
KinderPerfect (Commercial Set),Explaining ejaculation
KinderPerfect (Commercial Set),Explaining the Easter bunny
KinderPerfect (Commercial Set),Eye rolls. So many eye rolls.
KinderPerfect (Commercial Set),F**king cupcakes
KinderPerfect (Commercial Set),F**king potty mouth kids
KinderPerfect (Commercial Set),Farting in Target and blaming your child
KinderPerfect (Commercial Set),Fifty shades of quiet
KinderPerfect (Commercial Set),Finding out your nanny is a stripper
KinderPerfect (Commercial Set),Flashing
KinderPerfect (Commercial Set),Fluency in child gibberish
KinderPerfect (Commercial Set),Flying with toddlers
KinderPerfect (Commercial Set),Forgetting it's dress-up day at school
KinderPerfect (Commercial Set),Forgetting to move the damn Elf on the Shelf
KinderPerfect (Commercial Set),Four-week-olf French fries
KinderPerfect (Commercial Set),Free birth control
KinderPerfect (Commercial Set),Free range children
KinderPerfect (Commercial Set),Functional alcoholism
KinderPerfect (Commercial Set),Getting caught mid-quickie
KinderPerfect (Commercial Set),Getting grandma drunk for a peaceful holiday meal
KinderPerfect (Commercial Set),Getting high before a playdate
KinderPerfect (Commercial Set),Giving him the middle finger behind his back
KinderPerfect (Commercial Set),Giving my child a drum set
KinderPerfect (Commercial Set),Go the f**k to sleep
KinderPerfect (Commercial Set),Going to Target for a mini-vacation
KinderPerfect (Commercial Set),Grocery store cookies for the school bake sale
KinderPerfect (Commercial Set),Having the courage to give up
KinderPerfect (Commercial Set),Head lice
KinderPerfect (Commercial Set),Helicopter parents
KinderPerfect (Commercial Set),Her first boyfriend
KinderPerfect (Commercial Set),Her first period
KinderPerfect (Commercial Set),Higher standards for first borns
KinderPerfect (Commercial Set),Hostile dinner negotiations
KinderPerfect (Commercial Set),I want to do it by myseeeeeeelf!
KinderPerfect (Commercial Set),Ignoring the chore list
KinderPerfect (Commercial Set),Impromptu sex education at the zoo
KinderPerfect (Commercial Set),Inappropriate show and tell
KinderPerfect (Commercial Set),It was just a concussion
KinderPerfect (Commercial Set),Jack and Coke
KinderPerfect (Commercial Set),Kidz Bop on endless repeat
KinderPerfect (Commercial Set),Lego landmines
KinderPerfect (Commercial Set),Lint covered gummy bears
KinderPerfect (Commercial Set),Little boy pee
KinderPerfect (Commercial Set),Living on Goldfish and broken dreams
KinderPerfect (Commercial Set),Losing the last of the baby weight
KinderPerfect (Commercial Set),Losing their little minds over socksLying about Santa Claus
KinderPerfect (Commercial Set),Mac and cheese for dinner … again
KinderPerfect (Commercial Set),Matching family outfits
KinderPerfect (Commercial Set),Mimosas at the playdate
KinderPerfect (Commercial Set),Mommy brain
KinderPerfect (Commercial Set),Mommy guilt
KinderPerfect (Commercial Set),Mommy juice
KinderPerfect (Commercial Set),Mommy time
KinderPerfect (Commercial Set),Mommy's special toy
KinderPerfect (Commercial Set),More glitter than a stripper
KinderPerfect (Commercial Set),Morning wood
KinderPerfect (Commercial Set),Mother-in-law advice
KinderPerfect (Commercial Set),My fantasy social life
KinderPerfect (Commercial Set),My non-existent sex life
KinderPerfect (Commercial Set),My resting bitch face
KinderPerfect (Commercial Set),My shattered dreams and aspirations
KinderPerfect (Commercial Set),My unfinished baby book
KinderPerfect (Commercial Set),Nap-trapped in the car
KinderPerfect (Commercial Set),Never pooping alone
KinderPerfect (Commercial Set),Never wanting them to grow up
KinderPerfect (Commercial Set),Ninja like moves to get a toddler into their car seat
KinderPerfect (Commercial Set),Niplash
KinderPerfect (Commercial Set),Not giving a sh*t about the 3 second rule
KinderPerfect (Commercial Set),Nothing. Absolutely nothing.
KinderPerfect (Commercial Set),One too many damn kids
KinderPerfect (Commercial Set),Parental advice from childless friends
KinderPerfect (Commercial Set),Parenting advice from celebrities
KinderPerfect (Commercial Set),Passive aggressive PTA parents
KinderPerfect (Commercial Set),Paw Patrol plot holes
KinderPerfect (Commercial Set),Peanut free zones
KinderPerfect (Commercial Set),Peeing when you laugh
KinderPerfect (Commercial Set),Peeing with an audience
KinderPerfect (Commercial Set),Picture-perfect Pinterest moms
KinderPerfect (Commercial Set),Placenta smoothie
KinderPerfect (Commercial Set),Playground throwdown
KinderPerfect (Commercial Set),Playing doctor
KinderPerfect (Commercial Set),Poop. So much poop.
KinderPerfect (Commercial Set),Pooping in the car seat
KinderPerfect (Commercial Set),Poopspolsions
KinderPerfect (Commercial Set),Pot brownies at the PTA meeting
KinderPerfect (Commercial Set),Potty training failure
KinderPerfect (Commercial Set),Pregnancy sex
KinderPerfect (Commercial Set),Premeditated meltdowns
KinderPerfect (Commercial Set),Preschool social hierarchy
KinderPerfect (Commercial Set),Pretending to give a damn
KinderPerfect (Commercial Set),Pretending you're asleep so someone else will get the baby
KinderPerfect (Commercial Set),Pretending your screaming kid does not belong to you
KinderPerfect (Commercial Set),Projectile vomiting
KinderPerfect (Commercial Set),Pumping in an airport bathroom
KinderPerfect (Commercial Set),Quiet. Absolute quiet. For just five minutes.
KinderPerfect (Commercial Set),Realizing your child will never earn an athletic scholarship
KinderPerfect (Commercial Set),Recognizable fruit in the diaper
KinderPerfect (Commercial Set),Revenge gifting annoying toys
KinderPerfect (Commercial Set),Saggy post-pregnancy boobies
KinderPerfect (Commercial Set),Sanctimommies
KinderPerfect (Commercial Set),Saying "I love you" with puppy dog eyes
KinderPerfect (Commercial Set),Saying no to having another child
KinderPerfect (Commercial Set),School politics
KinderPerfect (Commercial Set),Secretly coveting a minivan
KinderPerfect (Commercial Set),Seeing Grandpa naked
KinderPerfect (Commercial Set),Senseless YouTube videos
KinderPerfect (Commercial Set),Shamelessly sniffing a child's butt in public
KinderPerfect (Commercial Set),Sharpie lipstick
KinderPerfect (Commercial Set),Sharts
KinderPerfect (Commercial Set),Shaving the dog
KinderPerfect (Commercial Set),Shopkins. So many Shopkins.
KinderPerfect (Commercial Set),Single people sex life
KinderPerfect (Commercial Set),Sketchy school bus drivers
KinderPerfect (Commercial Set),Skidmark undies
KinderPerfect (Commercial Set),Skipping bath time
KinderPerfect (Commercial Set),Sleep deprivation
KinderPerfect (Commercial Set),Smiling and pooping at the same time
KinderPerfect (Commercial Set),Some princess sh*t
KinderPerfect (Commercial Set),Spitting up right into your open mouth
KinderPerfect (Commercial Set),Stay-at-home dads
KinderPerfect (Commercial Set),Staying up late to do your child's project for them
KinderPerfect (Commercial Set),Sticky fingers
KinderPerfect (Commercial Set),Stinky farts
KinderPerfect (Commercial Set),Stop licking your sister!
KinderPerfect (Commercial Set),Stop playing with your penis!
KinderPerfect (Commercial Set),Stranger danger
KinderPerfect (Commercial Set),Stripping to "Let it Go"
KinderPerfect (Commercial Set),Sunday hangovers
KinderPerfect (Commercial Set),Surprise lactation
KinderPerfect (Commercial Set),Taking pride in your child's grammatically correct swearing
KinderPerfect (Commercial Set),Teaching a child how to hock a loogie
KinderPerfect (Commercial Set),Teaching the kids how to flick boogers
KinderPerfect (Commercial Set),Tequila shots before the PTA meeting
KinderPerfect (Commercial Set),That crusty sock
KinderPerfect (Commercial Set),That f**king Elf on a Shelf
KinderPerfect (Commercial Set),That first gray pubic hair
KinderPerfect (Commercial Set),That one kid. You know the one. That one.
KinderPerfect (Commercial Set),That one mom. You know the one. That one.
KinderPerfect (Commercial Set),That time I ran out of baby wipes
KinderPerfect (Commercial Set),The "oops child"
KinderPerfect (Commercial Set),The American Girl store
KinderPerfect (Commercial Set),The apocalyptic results of a granola bar in the hands of a toddler
KinderPerfect (Commercial Set),The babysitter's lip gloss
KinderPerfect (Commercial Set),The back to school happy dance
KinderPerfect (Commercial Set),The bedside toddler zombie stare
KinderPerfect (Commercial Set),The brilliant idea to buy white carpet
KinderPerfect (Commercial Set),The cost of college in 2030
KinderPerfect (Commercial Set),The count of three
KinderPerfect (Commercial Set),The daily power struggle
KinderPerfect (Commercial Set),The dreams your mother gave up to have you
KinderPerfect (Commercial Set),The emptiness where parental love should be
KinderPerfect (Commercial Set),The eternal question: "Why?"
KinderPerfect (Commercial Set),The fallout of the first crush
KinderPerfect (Commercial Set),The fallout when someone steals your baby name
KinderPerfect (Commercial Set),The family restroom
KinderPerfect (Commercial Set),The humiliation of a child teaching me how to use an iPad
KinderPerfect (Commercial Set),The last of my inheritance
KinderPerfect (Commercial Set),The lies we tell our children
KinderPerfect (Commercial Set),The logistics of planning a family holiday
KinderPerfect (Commercial Set),The magic of Minecraft
KinderPerfect (Commercial Set),The milkman's baby
KinderPerfect (Commercial Set),The nightmare of 2 under 2
KinderPerfect (Commercial Set),The pantsless wonder
KinderPerfect (Commercial Set),The Rolls Royce of strollers
KinderPerfect (Commercial Set),The second bottle of wine
KinderPerfect (Commercial Set),The sex talk
KinderPerfect (Commercial Set),The smug cloth diaper parent
KinderPerfect (Commercial Set),The soul shattering lack of sleep
KinderPerfect (Commercial Set),The sudden realization I've become my mother
KinderPerfect (Commercial Set),The sweaty hand of a child
KinderPerfect (Commercial Set),Their first sleepover
KinderPerfect (Commercial Set),Those three magic words: "They're at Grandma's."
KinderPerfect (Commercial Set),Threenagers
KinderPerfect (Commercial Set),Tickle fights at bedtime
KinderPerfect (Commercial Set),Tiny terrorists
KinderPerfect (Commercial Set),Toddler bribery
KinderPerfect (Commercial Set),Toddler erections
KinderPerfect (Commercial Set),Toddler leashes
KinderPerfect (Commercial Set),Toilet bowl fishing
KinderPerfect (Commercial Set),Toy inequality
KinderPerfect (Commercial Set),Training bra shopping with dad
KinderPerfect (Commercial Set),Trying again for a son
KinderPerfect (Commercial Set),Tween sass
KinderPerfect (Commercial Set),Two bottles of wine and a broken condom
KinderPerfect (Commercial Set),Unrealistic expectations
KinderPerfect (Commercial Set),Unsolicited parental advice
KinderPerfect (Commercial Set),Urine fountains
KinderPerfect (Commercial Set),Using the wrong sippy cup
KinderPerfect (Commercial Set),Vodka bottle in the diaper bag
KinderPerfect (Commercial Set),Wanting to punch Peppa Pig
KinderPerfect (Commercial Set),Wanting to strangle the imaginary friend
KinderPerfect (Commercial Set),Weeping with joy over the sweet sound of silence
KinderPerfect (Commercial Set),Whipping out a boob
KinderPerfect (Commercial Set),Wine and cheese Lunchables
KinderPerfect (Commercial Set),Wine tasting after Sunday school
KinderPerfect (Commercial Set),Winning the Charter School lottery
KinderPerfect (Commercial Set),Wiping butts
KinderPerfect (Commercial Set),Wishing you could just make a donation instead
KinderPerfect (Commercial Set),Yoga pants as formal wear
