Label,response
KinderPerfect: A Timeout For Parents (Kickstarter Set),Drop-off birthday parties
KinderPerfect: A Timeout For Parents (Kickstarter Set),Dropping the F-bomb
KinderPerfect: A Timeout For Parents (Kickstarter Set),Eating daddy's Viagra
KinderPerfect: A Timeout For Parents (Kickstarter Set),Eating the Cheerio in the toilet
KinderPerfect: A Timeout For Parents (Kickstarter Set),Eating their own weight in candy
KinderPerfect: A Timeout For Parents (Kickstarter Set),Eau de baby vomit
KinderPerfect: A Timeout For Parents (Kickstarter Set),Expecting a smile and getting a face full of puke
KinderPerfect: A Timeout For Parents (Kickstarter Set),Explaining ejaculation
KinderPerfect: A Timeout For Parents (Kickstarter Set),Farting at the principal
KinderPerfect: A Timeout For Parents (Kickstarter Set),Flashing
KinderPerfect: A Timeout For Parents (Kickstarter Set),Four week old french fries
KinderPerfect: A Timeout For Parents (Kickstarter Set),Free birth control
KinderPerfect: A Timeout For Parents (Kickstarter Set),Getting high before a playdate
KinderPerfect: A Timeout For Parents (Kickstarter Set),Going to Target for a mini-vacation
KinderPerfect: A Timeout For Parents (Kickstarter Set),Grandma
KinderPerfect: A Timeout For Parents (Kickstarter Set),Grandparent babysitters
KinderPerfect: A Timeout For Parents (Kickstarter Set),Grocery store cookies for the school bake sale
KinderPerfect: A Timeout For Parents (Kickstarter Set),Helicopter parents
KinderPerfect: A Timeout For Parents (Kickstarter Set),Her first period
KinderPerfect: A Timeout For Parents (Kickstarter Set),Hiding in the bathroom
KinderPerfect: A Timeout For Parents (Kickstarter Set),Higher standards for first borns
KinderPerfect: A Timeout For Parents (Kickstarter Set),Inappropriate lactation
KinderPerfect: A Timeout For Parents (Kickstarter Set),Inappropriate show and tell
KinderPerfect: A Timeout For Parents (Kickstarter Set),Jack and Coke
KinderPerfect: A Timeout For Parents (Kickstarter Set),Just the green M&Ms
KinderPerfect: A Timeout For Parents (Kickstarter Set),Lego landmines
KinderPerfect: A Timeout For Parents (Kickstarter Set),Lint covered gummy bears
KinderPerfect: A Timeout For Parents (Kickstarter Set),Little boy pee
KinderPerfect: A Timeout For Parents (Kickstarter Set),Mommy brain
KinderPerfect: A Timeout For Parents (Kickstarter Set),Mommy guilt
KinderPerfect: A Timeout For Parents (Kickstarter Set),Mommy juice
KinderPerfect: A Timeout For Parents (Kickstarter Set),Mommy time
KinderPerfect: A Timeout For Parents (Kickstarter Set),Mommy's special toy
KinderPerfect: A Timeout For Parents (Kickstarter Set),More glitter than a stripper
KinderPerfect: A Timeout For Parents (Kickstarter Set),Morning wood
KinderPerfect: A Timeout For Parents (Kickstarter Set),Mother-in-law advice
KinderPerfect: A Timeout For Parents (Kickstarter Set),My fantasy social life
KinderPerfect: A Timeout For Parents (Kickstarter Set),My shattered dreams and aspirations
KinderPerfect: A Timeout For Parents (Kickstarter Set),My status as a high-end prostitute
KinderPerfect: A Timeout For Parents (Kickstarter Set),My unfinished baby book
KinderPerfect: A Timeout For Parents (Kickstarter Set),Naptrapped in the car. Again.
KinderPerfect: A Timeout For Parents (Kickstarter Set),Never pooping alone
KinderPerfect: A Timeout For Parents (Kickstarter Set),Nothing an extra $5 can't fix
KinderPerfect: A Timeout For Parents (Kickstarter Set),Picture-perfect Pinterest moms
KinderPerfect: A Timeout For Parents (Kickstarter Set),Placenta smoothie
KinderPerfect: A Timeout For Parents (Kickstarter Set),Playground throwdown
KinderPerfect: A Timeout For Parents (Kickstarter Set),Playing doctor
KinderPerfect: A Timeout For Parents (Kickstarter Set),Poop
KinderPerfect: A Timeout For Parents (Kickstarter Set),Pot brownies
KinderPerfect: A Timeout For Parents (Kickstarter Set),Pregnancy sex
KinderPerfect: A Timeout For Parents (Kickstarter Set),Premeditated meltdowns
KinderPerfect: A Timeout For Parents (Kickstarter Set),Pretending to give a damn
KinderPerfect: A Timeout For Parents (Kickstarter Set),Pretending you're asleep so someone else will get the baby
KinderPerfect: A Timeout For Parents (Kickstarter Set),Pretending your screaming kid does not belong to you
KinderPerfect: A Timeout For Parents (Kickstarter Set),Saggy post-pregnancy boobies
KinderPerfect: A Timeout For Parents (Kickstarter Set),Shaving the dog
KinderPerfect: A Timeout For Parents (Kickstarter Set),Shopkins. So many Shopkins.
KinderPerfect: A Timeout For Parents (Kickstarter Set),Skid-mark undies
KinderPerfect: A Timeout For Parents (Kickstarter Set),Skipping bathtime
KinderPerfect: A Timeout For Parents (Kickstarter Set),Sleepovers
KinderPerfect: A Timeout For Parents (Kickstarter Set),Slip n' slide rash
KinderPerfect: A Timeout For Parents (Kickstarter Set),Smiling and pooping at the same time
KinderPerfect: A Timeout For Parents (Kickstarter Set),Some princess sh*t
KinderPerfect: A Timeout For Parents (Kickstarter Set),Spitting up right into your open mouth
KinderPerfect: A Timeout For Parents (Kickstarter Set),Stay-at-home dads
KinderPerfect: A Timeout For Parents (Kickstarter Set),Sticky fingers
KinderPerfect: A Timeout For Parents (Kickstarter Set),Stop licking your sister!
KinderPerfect: A Timeout For Parents (Kickstarter Set),Stranger danger
KinderPerfect: A Timeout For Parents (Kickstarter Set),Stripping to "Let It Go"
KinderPerfect: A Timeout For Parents (Kickstarter Set),Sucking on a dirty thumb
KinderPerfect: A Timeout For Parents (Kickstarter Set),Sunday hangovers
KinderPerfect: A Timeout For Parents (Kickstarter Set),Surrogate mom
KinderPerfect: A Timeout For Parents (Kickstarter Set),That f**king Elf on a Shelf
KinderPerfect: A Timeout For Parents (Kickstarter Set),That first gray pubic hair
KinderPerfect: A Timeout For Parents (Kickstarter Set),That one kid. You know the one. That one.
KinderPerfect: A Timeout For Parents (Kickstarter Set),That time I ran out of baby wipes.
KinderPerfect: A Timeout For Parents (Kickstarter Set),The "oops child"
KinderPerfect: A Timeout For Parents (Kickstarter Set),The American Girl store
KinderPerfect: A Timeout For Parents (Kickstarter Set),The babysitter's lip gloss
KinderPerfect: A Timeout For Parents (Kickstarter Set),The back to school happy dance
KinderPerfect: A Timeout For Parents (Kickstarter Set),The bedside toddler zombie stare
KinderPerfect: A Timeout For Parents (Kickstarter Set),The dreams your mother gave up to have you.
KinderPerfect: A Timeout For Parents (Kickstarter Set),The family restroom
KinderPerfect: A Timeout For Parents (Kickstarter Set),The last of my inheritance
KinderPerfect: A Timeout For Parents (Kickstarter Set),The lies we tell our children
KinderPerfect: A Timeout For Parents (Kickstarter Set),The second bottle of wine
KinderPerfect: A Timeout For Parents (Kickstarter Set),The smug cloth diaper parent
KinderPerfect: A Timeout For Parents (Kickstarter Set),The sudden realization that you've become your mother
KinderPerfect: A Timeout For Parents (Kickstarter Set),The sweaty hand of a child
KinderPerfect: A Timeout For Parents (Kickstarter Set),Toddler bribery
KinderPerfect: A Timeout For Parents (Kickstarter Set),Toddler erections
KinderPerfect: A Timeout For Parents (Kickstarter Set),Toddler leashes
KinderPerfect: A Timeout For Parents (Kickstarter Set),Trying again for a son
KinderPerfect: A Timeout For Parents (Kickstarter Set),Un-filtered Netflix
KinderPerfect: A Timeout For Parents (Kickstarter Set),Unsolicited parental advice
KinderPerfect: A Timeout For Parents (Kickstarter Set),Urine fountains
KinderPerfect: A Timeout For Parents (Kickstarter Set),Violating the 3-second rule
KinderPerfect: A Timeout For Parents (Kickstarter Set),Weeping with joy over the sweet sound of silence
KinderPerfect: A Timeout For Parents (Kickstarter Set),Winning the Charter School lottery
KinderPerfect: A Timeout For Parents (Kickstarter Set),Wishing you could just make a donation instead
