Label,response
Humanity Hates Trump: Base Set,Guantanamo Bay summer home.
Humanity Hates Trump: Base Set,Having an orgy with a cardboard cutout of yourself.
Humanity Hates Trump: Base Set,Having drinks with Bill Cosby.
Humanity Hates Trump: Base Set,Having twins and giving one up for adoption.
Humanity Hates Trump: Base Set,Hillary and Bill's secret sex tapes.
Humanity Hates Trump: Base Set,Hillary Clinton's secret sexts to Obama.
Humanity Hates Trump: Base Set,Hillary Clinton's wig.
Humanity Hates Trump: Base Set,Hitler youth Easy-Bake Ovens™.
Humanity Hates Trump: Base Set,Homeless voters.
Humanity Hates Trump: Base Set,Horrible morning breath.
Humanity Hates Trump: Base Set,Important votes from Down Syndrome community.
Humanity Hates Trump: Base Set,Inevitable impeachment.
Humanity Hates Trump: Base Set,Inflexible Democratic assholes.
Humanity Hates Trump: Base Set,Islamic State death threats.
Humanity Hates Trump: Base Set,Jared's Footlong.
Humanity Hates Trump: Base Set,Jesus's death.
Humanity Hates Trump: Base Set,Jews for Jesus.
Humanity Hates Trump: Base Set,Jihad knock-knock jokes.
Humanity Hates Trump: Base Set,Kanye West running in 2020.
Humanity Hates Trump: Base Set,Killing a Jew in order to prove a point.
Humanity Hates Trump: Base Set,Kim Jong-un look-alikes.
Humanity Hates Trump: Base Set,Kim Jong-un's barber.
Humanity Hates Trump: Base Set,Kim Jong's relationship with Dennis Rodman.
Humanity Hates Trump: Base Set,Kim Kardashian's selfie book.
Humanity Hates Trump: Base Set,Kim Kardashian's yeast infections.
Humanity Hates Trump: Base Set,KKK book clubs.
Humanity Hates Trump: Base Set,Larger vaginal walls preventing pregnancy.
Humanity Hates Trump: Base Set,Legally changing your name to a symbol.
Humanity Hates Trump: Base Set,Little buses with special kids.
Humanity Hates Trump: Base Set,Locking the keys in your car outside an abortion clinic to ask to borrow a coat hanger.
Humanity Hates Trump: Base Set,Lording over your inferiors.
Humanity Hates Trump: Base Set,Luke Skywalker's missing hand.
Humanity Hates Trump: Base Set,Mail order brides.
Humanity Hates Trump: Base Set,Make-A-Wish® Christmas tree cards.
Humanity Hates Trump: Base Set,Mascot sexual charades.
Humanity Hates Trump: Base Set,Mensa poster child.
Humanity Hates Trump: Base Set,Mexican drug smugglers bringing crime.
Humanity Hates Trump: Base Set,Mexico's totally corrupt government.
Humanity Hates Trump: Base Set,Miley Cyrus with clothes on.
Humanity Hates Trump: Base Set,Miscellaneous countries that show no purpose to exist.
Humanity Hates Trump: Base Set,Money Money Money Money.
Humanity Hates Trump: Base Set,Napoleonic penis complex.
Humanity Hates Trump: Base Set,New York society horseshit.
Humanity Hates Trump: Base Set,Nigerians on street corners.
Humanity Hates Trump: Base Set,Obamacare.
Humanity Hates Trump: Base Set,Orange is the New Black (Donald Trump replacing Obama).
Humanity Hates Trump: Base Set,Orgies with Trump cutouts.
Humanity Hates Trump: Base Set,Paypaling every voter $10 with a thank you note.
Humanity Hates Trump: Base Set,Peeing on thing's to claim them as your own.
Humanity Hates Trump: Base Set,Polish illegal immigrants.
Humanity Hates Trump: Base Set,Post-Trump Canadian against illegal US immigrants.
Humanity Hates Trump: Base Set,Prison rape.
Humanity Hates Trump: Base Set,Privatized prisons.
Humanity Hates Trump: Base Set,Racists for Trump.
Humanity Hates Trump: Base Set,Really exciting stuff that is really important and really amazing.
Humanity Hates Trump: Base Set,Reincarnation of Jesus.
Humanity Hates Trump: Base Set,Robin William's depression.
Humanity Hates Trump: Base Set,Rodney King.
Humanity Hates Trump: Base Set,Rosa Parks calling shotgun.
Humanity Hates Trump: Base Set,Rule 34
Humanity Hates Trump: Base Set,Second-rate minorities.
Humanity Hates Trump: Base Set,Self-praising reality TV shows.
Humanity Hates Trump: Base Set,Sex with your clone.
Humanity Hates Trump: Base Set,Sexy nuns.
Humanity Hates Trump: Base Set,Sloppy seconds.
Humanity Hates Trump: Base Set,Sneaking into the back of the White House kitchen and microwaving a full diaper.
Humanity Hates Trump: Base Set,SNL impersonators that are more credible than Donald Trump.
Humanity Hates Trump: Base Set,Solving a Rubik's cube every time because you're color blind.
Humanity Hates Trump: Base Set,Special Olympics booing.
Humanity Hates Trump: Base Set,Stealing money from Make-A-Wish®.
Humanity Hates Trump: Base Set,Stubby-toed dwarves.
Humanity Hates Trump: Base Set,Stuffed ballot boxes.
Humanity Hates Trump: Base Set,Stupid French accents and the people attached to them.
Humanity Hates Trump: Base Set,Suing Hillary Clinton for being a woman.
Humanity Hates Trump: Base Set,Suspicious white powder.
Humanity Hates Trump: Base Set,Tampon taxes.
Humanity Hates Trump: Base Set,Ted Cruz's booger.
Humanity Hates Trump: Base Set,Ted Cruz's tightly clenched anus.
Humanity Hates Trump: Base Set,Thanksgiving coming out party.
Humanity Hates Trump: Base Set,Thanksgiving with Al Sharpton.
Humanity Hates Trump: Base Set,That oddly creepy guy at your work.
Humanity Hates Trump: Base Set,The 2016 presidential election.
Humanity Hates Trump: Base Set,The Apprentice.
Humanity Hates Trump: Base Set,The cabinet is where all the White House booze is stored.
Humanity Hates Trump: Base Set,The Ching-Chong Ding-Dong Foundation for Sensitivity to Orientals or Whatever.
Humanity Hates Trump: Base Set,The crushing of your enemies while seeing them driven before you while their women lament in foreign dialects.
Humanity Hates Trump: Base Set,The cutest ponytail that sways with a wiggle when she walks.
Humanity Hates Trump: Base Set,The end of the world.
Humanity Hates Trump: Base Set,The entire continent of Africa.
Humanity Hates Trump: Base Set,The Latino vote.
Humanity Hates Trump: Base Set,The liberal media machine.
Humanity Hates Trump: Base Set,The moon landing.
Humanity Hates Trump: Base Set,The person sitting to my right.
Humanity Hates Trump: Base Set,The pregnant monster known as my wife.
Humanity Hates Trump: Base Set,The start of US dictatorship.
Humanity Hates Trump: Base Set,The thing I'm hiding in my basement.
Humanity Hates Trump: Base Set,The ugly Olsen twin.
Humanity Hates Trump: Base Set,The Ultimate TRUMP Card
Humanity Hates Trump: Base Set,The Ultimate TRUMP Card
Humanity Hates Trump: Base Set,The voices in my head.
Humanity Hates Trump: Base Set,The world's biggest publicity stunt ever.
Humanity Hates Trump: Base Set,The world's Largest brain never used.
Humanity Hates Trump: Base Set,This week's mass shooting.
Humanity Hates Trump: Base Set,Tom Brady's deflated balls.
Humanity Hates Trump: Base Set,Trump Taj Mahal.
Humanity Hates Trump: Base Set,Trump's failed businesses.
Humanity Hates Trump: Base Set,Trump's future wives.
Humanity Hates Trump: Base Set,Trump's hair wearing a suicide vest.
Humanity Hates Trump: Base Set,Trump's online store for Presidential wear.
Humanity Hates Trump: Base Set,Trump's spray tanned asshole.
Humanity Hates Trump: Base Set,Unintentional homoeroticism.
Humanity Hates Trump: Base Set,Unrealistic expectations.
Humanity Hates Trump: Base Set,US exodus into Canada.
Humanity Hates Trump: Base Set,Vaccines that cause autism.
Humanity Hates Trump: Base Set,Vladimir Putin.
Humanity Hates Trump: Base Set,Vladimir Putin's left testicle.
Humanity Hates Trump: Base Set,Watching your child slowly die because you were too upper middle class to vaccinate them.
Humanity Hates Trump: Base Set,Waving a gun around in a bank.
Humanity Hates Trump: Base Set,What's his face?
Humanity Hates Trump: Base Set,Wheelchair death race.
Humanity Hates Trump: Base Set,White dreams - never black and white.
Humanity Hates Trump: Base Set,White Rosa Parks.
Humanity Hates Trump: Base Set,Working at Hawley Lane shoes and having a foot fetish.
Humanity Hates Trump: Base Set,Yelling "Jenga!" while watching footage from 9/11.
